Module,Ticket_Count
Views & View Items & Property Editors,29
Security Module,13
Business Model Design,12
"Controllers, Actions, Frame/Form Templates",12
Application Model,9
Blazor Platform Specifics,8
Reports Module,7
Data Manipulation & Business Logic,7
Scheduler Module,6
Validation Module,6
Audit Trail Module,5
"Debugging, Testing and Error Handling",4
Navigation System,4
Filtering & Querying data,4
Data Store Configuration,3
"Views & View Items & Property Editors,Conditional Appearance Module",3
Business / Data Model Design,3
Application Structure & Modules Design,2
"Controllers, Actions, Frame/Form Templates,Blazor Platform Specifics",2
Data Manipulation & Logic,2
